weekday,UId,date,TimeOfDay,count
4,kumarrandhir.dad,2023-02-15,3.0,3
4,ak.gupta9982,2023-02-15,3.0,2
4,princysingh.fci,2023-02-15,4.0,2
4,harish.n94,2023-02-15,4.0,4
4,s.badhai,2023-02-15,4.0,4
4,pbehera1597.mcl,2023-02-15,4.0,2
4,b.maurya,2023-02-15,4.0,3
4,vimal.kumar,2023-02-15,4.0,6
5,kiran.karlapu,2023-02-16,1.0,6
5,simranjeet.kaur30,2023-02-16,1.0,2
5,dsingh.1990,2023-02-16,1.0,2
5,utpalk.singh,2023-02-16,1.0,2
5,vipin.dgca,2023-02-16,1.0,4
5,mahendramagrade-cwc,2023-02-16,2.0,2
5,binod.kumar52,2023-02-16,2.0,3
5,meenatamsoy.160676,2023-02-16,2.0,2
5,sp.tripathi.npc,2023-02-16,2.0,4
5,scsharma441,2023-02-16,2.0,2
5,s.khursheed,2023-02-16,2.0,2
5,santosh.3480,2023-02-16,2.0,2
5,tsewang.nk,2023-02-16,2.0,1
5,dhoom.2899,2023-02-16,2.0,11
5,sivalingakumar.c,2023-02-16,2.0,5
5,vadrevu.sureshkumar,2023-02-16,2.0,2
5,as.lss-doc,2023-02-16,2.0,2
5,deepa.borah,2023-02-16,2.0,2
5,d.chitara,2023-02-16,2.0,2
5,rahulh.g171001,2023-02-16,2.0,2
5,prakashr.kol.cca,2023-02-16,2.0,2
5,ashish.bhutani,2023-02-16,2.0,2
5,anuradha.etd,2023-02-16,2.0,2
5,xavier.jeeva,2023-02-16,2.0,4
5,sarojkumar.soren,2023-02-16,2.0,2
5,r.abhilash,2023-02-16,2.0,10
5,manojkr0691.cbse,2023-02-16,2.0,2
5,rakesh.gautam096,2023-02-16,2.0,4
5,iqbal.shikalkar1974,2023-02-16,3.0,2
5,gvrao.cpri,2023-02-16,3.0,17
5,centreasst.dplo-wb,2023-02-16,3.0,6
5,sabhp.esic,2023-02-16,3.0,3
5,srinivas.sb,2023-02-16,3.0,2
5,admin.jal.ppol,2023-02-16,3.0,6
5,ankurg.g141601,2023-02-16,3.0,2
5,jp.bcd.bih,2023-02-16,4.0,2
5,shubhangi.darawade93,2023-02-16,4.0,2
6,ravindra.bs,2023-02-17,1.0,3
6,charanjeet.kaur,2023-02-17,1.0,2
6,umesh.2525,2023-02-17,1.0,2
6,oa-admin1.ncpor,2023-02-17,1.0,2
6,anil.sagar79,2023-02-17,1.0,2
6,kartarjat.bsnl,2023-02-17,2.0,4
6,rajni.raipuria03,2023-02-17,2.0,2
6,kapilgupta.ikgptu,2023-02-17,2.0,8
6,s.shrivastava,2023-02-17,2.0,8
6,nmangal.bsnl,2023-02-17,2.0,4
6,medhi.anupam13,2023-02-17,2.0,2
6,arukumba,2023-02-17,2.0,4
6,unsecy-jkssb,2023-02-17,2.0,3
6,shivc.ranjan,2023-02-17,2.0,2
6,krishnakr.sahu87,2023-02-17,2.0,6
6,swapandas.dgt,2023-02-17,2.0,2
6,ravi.1839,2023-02-17,2.0,3
6,saplanning-samba,2023-02-17,2.0,2
6,usha.m,2023-02-17,2.0,6
6,muthyam.1989,2023-02-17,2.0,2
6,kamlesh.2105,2023-02-17,2.0,2
6,manoj.kumar1.bsnl,2023-02-17,2.0,3
1,amandeep.kvic,2023-02-05,2.0,2
1,amitkumar4.pb,2023-02-26,3.0,2
1,anil.verma58,2023-02-19,2.0,2
1,ashvinpatidar-cwc,2023-02-26,3.0,2
1,atulgupta.air,2023-02-19,4.0,2
1,atulk.hyd.pdac,2023-02-26,4.0,2
1,balindranboruah.pb,2023-02-05,5.0,6
1,basant.garg,2023-02-05,3.0,2
1,beenam.soi,2023-02-05,4.0,2
1,birendra.69,2023-02-19,4.0,1
1,boopathi.1114,2023-02-19,5.0,2
1,cl.mawi85,2023-02-26,3.0,2
1,deepak.bharti88,2023-02-05,2.0,2
1,dheerajkumar.pb,2023-02-19,3.0,2
1,dinesh.bhaskar.mcd,2023-02-05,5.0,2
1,dinesh.kumar97,2023-02-19,5.0,2
1,dir.dte-wb,2023-02-26,4.0,4
1,drkarunakumari_10ias,2023-02-05,3.0,2
1,drtanwistha.c90,2023-02-26,1.0,3
1,ds.ite-wb,2023-02-26,4.0,2
1,dt-pp.mcl,2023-02-19,4.0,2
1,dvsraju.pb,2023-02-19,4.0,2
1,dyceoboa.mame-wb,2023-02-26,5.0,2
1,gorakhnath.mall,2023-02-05,3.0,1
1,hameeda0858.cbse,2023-02-05,4.0,4
1,harpreet.singh58,2023-02-26,3.0,2
1,i.098030397.itbp,2023-02-05,2.0,2
1,jagmjata.esic,2023-02-12,2.0,4
1,jainsanjeev.nhm,2023-02-19,5.0,2
1,jaswinder.singh84,2023-02-19,5.0,2
1,khalid.ansari,2023-02-12,4.0,4
1,khan.waseem,2023-02-05,3.0,2
1,kr.bipin.bih,2023-02-05,1.0,2
1,lalitkumarve.g129301,2023-02-19,5.0,2
1,lda04.dca-wb,2023-02-12,0.0,2
1,leenam.patil,2023-02-05,2.0,2
1,mahabirsingh.nhai,2023-02-26,5.0,2
1,maninder.g141601,2023-02-19,3.0,3
1,micsed.01-wb,2023-02-19,2.0,2
1,mlkumawat.recl,2023-02-05,3.0,2
1,mmahesh97.fci,2023-02-05,2.0,5
1,mmumtazalich.786,2023-02-19,1.0,2
1,mohit.gaharana,2023-02-05,3.0,2
1,muzamilrashid.acb,2023-02-26,2.0,2
1,neeru.bala65,2023-02-19,3.0,2
1,p.kumar7137,2023-02-19,2.0,2
1,pallavi.agrawal86,2023-02-05,3.0,2
1,pankajsinghal.nhai,2023-02-05,4.0,2
1,parbodh.chander127,2023-02-05,0.0,2
1,pawanajmera.nhai,2023-02-19,1.0,5
1,pkrathi.2005,2023-02-26,2.0,4
1,pradeep.468838-cgo,2023-02-12,3.0,2
1,pradeepnz.g159401,2023-02-05,3.0,2
1,prameela.ka,2023-02-19,3.0,3
1,prashant.dwivedi,2023-02-05,1.0,2
1,pravin.makwana,2023-02-12,2.0,2
1,rachakonda.paparao,2023-02-12,4.0,2
1,rajeevkumar.nhai,2023-02-19,4.0,2
1,rajeevkumar4.pb,2023-02-05,1.0,2
1,rajesh.shrivastava64,2023-02-26,3.0,2
1,rajesh.wcl,2023-02-05,3.0,2
1,rakesh.chauhan.hid,2023-02-26,4.0,2
1,ramu.uppara,2023-02-12,1.0,2
1,rehanuddin.choudhury,2023-02-05,5.0,2
1,ritesh24.bsf,2023-02-05,4.0,4
1,rk.vishwakarma8685,2023-02-26,2.0,2
1,rksahu.wcl,2023-02-05,4.0,2
1,rltripathi.90412,2023-02-19,4.0,4
1,rohit.aswal,2023-02-12,5.0,2
1,sangeeta.manish,2023-02-12,3.0,6
1,sathyavathi.1968,2023-02-26,0.0,3
1,schakraborty7.pb,2023-02-19,2.0,2
1,shafeequei.pb,2023-02-26,4.0,1
1,shambhuprasad.wcl,2023-02-19,3.0,2
1,shivaram.sharma,2023-02-19,2.0,4
1,shyam.sundar67,2023-02-05,3.0,2
1,singhranjit.cag,2023-02-19,2.0,2
1,someshwar63.pb,2023-02-05,3.0,2
1,srinivasreddy.a.bsnl,2023-02-19,3.0,4
1,srinivasuy.g211201,2023-02-19,2.0,2
1,ssansari.wcl,2023-02-26,2.0,1
1,sundarraj.p,2023-02-05,3.0,24
1,sushil.2407,2023-02-19,3.0,2
1,utkarsh313613.fci,2023-02-05,5.0,2
1,vijaykumar.kalla,2023-02-12,3.0,3
1,vinod-k.c109801,2023-02-12,3.0,4
1,vinodk.dit,2023-02-19,5.0,2
1,vipin.bhati,2023-02-26,2.0,2
1,vishal.prajapati,2023-02-05,2.0,3
2,a.memi,2023-02-06,2.0,2
2,a.vashishtha,2023-02-27,2.0,4
2,a2const.nvs,2023-02-06,1.0,3
2,aacomn.ndma,2023-02-20,5.0,2
2,aaivu.r17,2023-02-27,2.0,2
2,aamina.19902,2023-02-27,2.0,4
2,aanchal.rani,2023-02-20,2.0,2
2,aashisht.g081101,2023-02-06,2.0,2
2,aasmeen.m,2023-02-20,3.0,2
2,abdul.hamid2036,2023-02-27,2.0,4
2,abdulrahim-1967,2023-02-06,4.0,4
2,abhay.bansal,2023-02-27,2.0,4
2,abhimanyu.ohlyan,2023-02-27,2.0,2
2,abhishek.jaiswal20,2023-02-13,2.0,4
2,abraham64.fci,2023-02-27,2.0,2
2,achintasardar.123,2023-02-06,1.0,2
2,acr-samba,2023-02-27,4.0,2
2,ad.dlb-wb,2023-02-27,2.0,4
2,adcfs1pmid.ddps-wb,2023-02-06,2.0,2
2,adhikariodia.mib,2023-02-27,3.0,2
2,adi9.ica-wb,2023-02-20,3.0,6
2,aditirb.g149401,2023-02-06,3.0,2
2,aditya311594.fci,2023-02-27,2.0,2
2,aditya90.fci,2023-02-13,2.0,2
2,adityas.c071401,2023-02-13,3.0,2
2,aec21.kmc-wb,2023-02-20,5.0,4
2,aeecdo-vjar.apcpdcl,2023-02-20,2.0,4
2,aeetech-nrt.apcpdcl,2023-02-27,3.0,4
2,aenrega-wb.pmr,2023-02-06,2.0,2
2,aetc.narsinghpur,2023-02-13,3.0,1
2,agmebekm.bsnl,2023-02-13,3.0,2
2,ajaykm.d080701,2023-02-13,3.0,3
2,ajaykumar.g67,2023-02-20,2.0,10
2,ajaykumar.koli,2023-02-06,2.0,6
2,ajayprakash.3107,2023-02-27,3.0,2
2,ajaysurwade.pb,2023-02-27,3.0,2
2,ajayyadav2233.bsf,2023-02-06,2.0,2
2,ajiteshjohar.fci,2023-02-06,2.0,4
2,ajitkj.g110501,2023-02-20,3.0,4
2,ak.ram1965,2023-02-20,2.0,2
2,akamar.dad,2023-02-27,3.0,2
2,akash-co.jnu,2023-02-27,1.0,8
2,akashdk.g152001,2023-02-20,2.0,5
2,akbar.ali.ladakh,2023-02-27,2.0,2
2,akgupta2.ofb,2023-02-06,2.0,4
2,akhil.talukdar,2023-02-20,2.0,3
2,akhilesh.srivastava31,2023-02-27,2.0,2
2,akhilesh.upadhyay76,2023-02-13,3.0,4
2,akhileshpal.cil,2023-02-20,4.0,2
2,akin.sharma,2023-02-20,1.0,2
2,aknayak.2003,2023-02-27,2.0,2
2,akshaya.rs12,2023-02-06,2.0,3
2,akshibali.ncte,2023-02-06,2.0,2
2,alok.90227,2023-02-20,2.0,6
2,alok.ranjan14,2023-02-27,3.0,4
2,alokkumar.90,2023-02-13,2.0,2
2,alvimazhar.ddn,2023-02-27,2.0,6
2,amal311509.fci,2023-02-20,3.0,2
2,aman.bhave,2023-02-20,5.0,2
2,amandeep.singh333,2023-02-20,2.0,9
2,amarnathmehar.bsnl,2023-02-20,2.0,2
2,amberpet59mla-ts,2023-02-13,1.0,2
2,ambika.saloi-irrig,2023-02-27,3.0,7
2,amin.194600-cgo,2023-02-06,2.0,3
2,amishra-pc,2023-02-27,3.0,6
2,amit.bhola,2023-02-27,3.0,2
2,amit.ugc,2023-02-06,1.0,2
2,amitchaturvedi.wcl,2023-02-06,2.0,7
2,amitk.raj.au,2023-02-13,3.0,2
2,amitkumar.mnre,2023-02-27,1.0,4
2,amitn.c031601,2023-02-06,2.0,2
2,amitsingh.pb,2023-02-13,2.0,2
2,amrane.bsnl,2023-02-06,2.0,2
2,amritak.g061701,2023-02-27,2.0,4
2,anadevpi,2023-02-20,2.0,2
2,anand.1963,2023-02-20,4.0,2
2,anand.verma,2023-02-20,3.0,2
2,anil.gawali,2023-02-13,3.0,9
2,anil.ks.lrde,2023-02-06,3.0,1
2,anil.kumar2053,2023-02-20,1.0,2
2,anil.suchari,2023-02-13,3.0,2
2,anil140.bsnl,2023-02-06,2.0,2
2,anilkumar.16,2023-02-20,1.0,2
2,anilkumar.kalshyan,2023-02-20,2.0,2
2,anindya.sengupta,2023-02-20,1.0,3
2,anjkarj,2023-02-27,1.0,2
2,anju.aggarwal51,2023-02-27,2.0,3
2,anju.mertiya,2023-02-20,2.0,4
2,anjubala.nihfw,2023-02-06,3.0,8
2,ankit.garg87,2023-02-20,2.0,2
2,ankita.90,2023-02-20,2.0,2
2,ankitkumar.aiims,2023-02-20,3.0,2
2,ankur.b.sai,2023-02-27,3.0,6
2,ankur.d88,2023-02-06,3.0,6
2,ankush.katoch.sai,2023-02-06,4.0,2
2,ankush242012.fci,2023-02-27,2.0,3
2,anoopkhajuria.pb,2023-02-27,3.0,2
2,anthonyd.g178701,2023-02-27,3.0,2
2,antony312496.fci,2023-02-06,2.0,3
2,anu.dube72,2023-02-27,3.0,3
2,anubhav.chaudhary1,2023-02-27,2.0,2
2,anupa.v,2023-02-27,3.0,2
2,anupagarwal.bsnl,2023-02-13,2.0,4
2,anurag.yerasi,2023-02-27,3.0,2
2,ao.sap.iims,2023-02-27,3.0,2
2,apccfcampa-workshop,2023-02-06,2.0,2
2,ar.sengupta,2023-02-20,3.0,6
2,aravindu.060281,2023-02-27,2.0,2
2,archana-dgs,2023-02-20,3.0,1
2,arif.lohani.epf,2023-02-27,2.0,2
2,arindamd.c060002,2023-02-20,3.0,4
2,arjun.98343,2023-02-27,2.0,2
2,armina.ansari,2023-02-20,1.0,3
2,arnab.aich,2023-02-20,3.0,6
2,arnab.mondal.dvc,2023-02-06,2.0,2
2,arora.prerna,2023-02-27,3.0,4
2,arorakeshnianand,2023-02-27,2.0,2
2,arumilla.srinivasu,2023-02-20,2.0,2
2,arun.0504,2023-02-27,2.0,2
2,arun.sakya,2023-02-06,2.0,2
2,arun.singh6962,2023-02-20,2.0,2
2,arunkdhiroliya-cwc,2023-02-06,3.0,2
2,arunky.c061602,2023-02-20,4.0,4
2,arunmunda.rgi,2023-02-20,2.0,2
2,arup.sarma1,2023-02-20,4.0,4
2,arutirtham.g061301,2023-02-20,3.0,2
2,arvind.gaur30,2023-02-27,4.0,5
2,arvind.mudgal70,2023-02-20,2.0,4
2,ase-sdb.ex-wb.s24p,2023-02-13,3.0,2
2,ashish-p.c031602,2023-02-20,3.0,2
2,ashish.3839.dmrc,2023-02-27,1.0,1
2,ashish.marskole,2023-02-27,4.0,2
2,ashkumk,2023-02-13,1.0,2
2,ashok227431.fci,2023-02-06,3.0,2
2,ashok254275.fci,2023-02-06,2.0,2
2,ashusharma.rgi,2023-02-20,1.0,2
2,ashutosh.aiimsr,2023-02-20,2.0,2
2,ashutoshj.chs.au,2023-02-13,2.0,4
2,ashwani.gupta39,2023-02-20,2.0,6
2,ashwin.ukey,2023-02-06,2.0,2
2,asif.equbal.dvc,2023-02-06,4.0,2
2,asifismail.ofb,2023-02-06,4.0,4
2,asmd-mohfw,2023-02-13,4.0,2
2,asokkumar.das,2023-02-27,3.0,2
2,asokm,2023-02-27,1.0,2
2,asps.raviprakash68,2023-02-27,2.0,7
2,asstaccoff-sw,2023-02-20,1.0,2
2,atvphq-mod,2023-02-13,3.0,6
2,auchityasharma.cag,2023-02-27,3.0,2
2,avanish.singh69,2023-02-27,2.0,2
2,avinashp.joshi,2023-02-06,1.0,2
2,avkuma,2023-02-27,3.0,2
2,ayush.pandey90,2023-02-20,2.0,2
2,b.purkayastha-as,2023-02-27,3.0,2
2,b.saiprakash20,2023-02-20,2.0,4
2,b.sateesh,2023-02-20,2.0,5
2,bablukdas.sai,2023-02-13,2.0,2
2,bahuguna.a.dit,2023-02-27,2.0,2
2,balajee.251265,2023-02-20,1.0,4
2,balaram.t,2023-02-13,2.0,6
2,balram.93-p-hry,2023-02-20,3.0,5
2,bamang.raja,2023-02-20,3.0,2
2,barudass.soi,2023-02-06,2.0,4
2,bathula.manoranjani,2023-02-20,3.0,1
2,bbehera1407.mcl,2023-02-27,2.0,8
2,beersingh0530.cbse,2023-02-06,1.0,2
2,bezawadaa.g218901,2023-02-27,2.0,2
2,bhagat.bachan,2023-02-06,2.0,1
2,bhagyalaxmi.p54,2023-02-20,2.0,2
2,bhakumta.esic,2023-02-27,2.0,3
2,bhanu.1987,2023-02-13,3.0,2
2,bharathi.irs,2023-02-20,4.0,3
2,bhaskar.dasgupta,2023-02-20,2.0,11
2,bhatnagar.n,2023-02-06,3.0,5
2,bhavani.gvnl,2023-02-06,2.0,2
2,bhavesh.singla,2023-02-27,2.0,2
2,bhisin,2023-02-13,4.0,1
2,bhupender1526.cbse,2023-02-27,3.0,1
2,bhupendrayadav.dad,2023-02-27,3.0,1
2,bhupinder.singh412,2023-02-06,2.0,2
2,bhushanrl-cgwb,2023-02-27,1.0,2
2,bicky.anand,2023-02-06,3.0,2
2,biju.hazarika,2023-02-13,2.0,5
2,bikash.shaw.bsnl,2023-02-13,2.0,2
2,bimaleshsingh.pb,2023-02-27,3.0,2
2,bimlesh.kr,2023-02-06,1.0,2
2,bimlesh.yadav23,2023-02-06,2.0,2
2,binay.1110,2023-02-27,2.0,5
2,binay.saurav.bih,2023-02-27,2.0,2
2,bindu.binu2039,2023-02-13,3.0,3
2,bindu.kr,2023-02-20,1.0,2
2,bindukc.bsnl,2023-02-27,1.0,2
2,binod.behera98.kvs,2023-02-13,3.0,2
2,biomedical-engineer,2023-02-27,1.0,2
2,bisht.amit,2023-02-20,2.0,2
2,bl.meena81,2023-02-13,2.0,2
2,blshukla.wcl,2023-02-27,2.0,5
2,bn.pancham,2023-02-27,1.0,2
2,bpjoshi.forest,2023-02-27,2.0,6
2,braj.wrd.bih,2023-02-13,4.0,1
2,brajendra.singhsr,2023-02-27,5.0,2
2,brijeshs.c031801,2023-02-27,2.0,2
2,bs.rathore.ncert,2023-02-27,4.0,2
2,bsdangwal53.fci,2023-02-20,2.0,2
2,bshankar.aiah,2023-02-27,3.0,4
2,bsnl.rajendra.bsnl,2023-02-13,4.0,4
2,c.ponrukkuma.bsnl,2023-02-20,2.0,3
2,cabsecvc-support,2023-02-27,3.0,8
2,cadeepak.bsnl,2023-02-20,2.0,4
2,cbehera.thdc,2023-02-06,2.0,2
2,cc.patil87,2023-02-06,3.0,2
2,cdo11.coopdte-wb,2023-02-13,2.0,4
2,cea,2023-02-06,3.0,2
2,ceovara-stats,2023-02-20,4.0,2
2,chairman.ifsca,2023-02-13,3.0,2
2,chaitanyakongo.aimrp,2023-02-20,3.0,1
2,chakravarthym.2027,2023-02-20,2.0,8
2,chandan.rawat65,2023-02-20,2.0,4
2,chandan.shah,2023-02-27,2.0,2
2,chandan.wsc,2023-02-20,3.0,3
2,chandanp.c021001,2023-02-06,2.0,2
2,chandersheel.asm.au,2023-02-27,3.0,3
2,chandra.3661.dmrc,2023-02-27,2.0,2
2,chandra.saurabh,2023-02-20,2.0,2
2,chandrakants.raj.au,2023-02-06,1.0,2
2,chandran.2025,2023-02-20,3.0,2
2,chandran.arvind,2023-02-06,1.0,2
2,chandranaikb-atp,2023-02-20,2.0,2
2,charanjot.singh,2023-02-06,3.0,17
2,charkhay.mahussain,2023-02-27,2.0,2
2,chidam.mdu,2023-02-13,2.0,4
2,chinnikrishna.ag,2023-02-20,3.0,10
2,chitrak.cwc,2023-02-20,3.0,1
2,chowdhurypranjal.99,2023-02-27,2.0,4
2,cl.mawi85,2023-02-27,1.0,4
2,cmsrawat71.bsf,2023-02-06,2.0,10
2,cn.murali,2023-02-27,3.0,2
2,coaa1-hr-dwmavsp,2023-02-27,2.0,2
2,comp3-funds,2023-02-20,3.0,2
2,conslt-ra,2023-02-20,3.0,2
2,const3.lukw,2023-02-06,3.0,2
2,cr-ro-chd,2023-02-20,2.0,2
2,d.murugan.vocp,2023-02-27,2.0,7
2,dagpf2phq-eoff,2023-02-06,2.0,2
2,daphtchq-eoff,2023-02-06,2.0,4
2,dasarir.tel.au,2023-02-06,2.0,2
2,dasd.pnt,2023-02-06,3.0,2
2,dasguptas.rgi,2023-02-27,1.0,2
2,davinder.singh79,2023-02-20,2.0,2
2,dayal.khandelwal,2023-02-06,1.0,2
2,ddi94.esic,2023-02-06,1.0,2
2,ddm.desi-wb,2023-02-27,2.0,2
2,ddoslead-ndcsp,2023-02-06,2.0,1
2,debarshi.som,2023-02-20,1.0,4
2,debasree.das1,2023-02-20,2.0,2
2,deekumra,2023-02-20,3.0,4
2,deepak-k.g081602,2023-02-20,3.0,2
2,deepak.c041601,2023-02-27,2.0,2
2,deepak.gulia,2023-02-06,1.0,2
2,deepak.gupta72,2023-02-20,3.0,2
2,deepak.nihfw,2023-02-20,3.0,1
2,deepakkanojia.cag,2023-02-06,2.0,2
2,deepakr.g151601,2023-02-27,2.0,2
2,deepaksingh.4695,2023-02-27,2.0,3
2,deepika.s88,2023-02-27,2.0,7
2,deepshuk,2023-02-20,2.0,2
2,deo.ma-wb,2023-02-27,2.0,2
2,deo.mhfw-chtr,2023-02-20,4.0,2
2,deo1.dca-wb,2023-02-27,3.0,6
2,deo1.ite-wb,2023-02-06,2.0,4
2,deo2hq-tau,2023-02-20,2.0,8
2,deshrajm.g011401,2023-02-13,2.0,2
2,devakisn.g149501,2023-02-27,5.0,3
2,devalapalldr.c039201,2023-02-13,2.0,2
2,devenderkr.aiims,2023-02-27,2.0,4
2,devendrachoure.1708,2023-02-27,2.0,2
2,devendrakumar.bsnl,2023-02-20,2.0,2
2,devgovhi,2023-02-27,2.0,4
2,devi.basanti,2023-02-27,1.0,2
2,devkinandan1297.cbse,2023-02-13,3.0,2
2,devkums,2023-02-27,2.0,2
2,devmani25.ndmc,2023-02-20,3.0,3
2,dharamprakash.thdc,2023-02-06,2.0,4
2,dharmender.kumar14,2023-02-06,3.0,4
2,dharmendraag.g019802,2023-02-20,2.0,6
2,dharmeshcv.g209201,2023-02-27,2.0,2
2,dheeraj.stpi,2023-02-20,2.0,3
2,dho2.hq,2023-02-27,2.0,4
2,dhsamritpal.singh,2023-02-06,2.0,2
2,diksha.1833.cbse,2023-02-13,2.0,4
2,dilbagh.singh359,2023-02-27,2.0,2
2,dilipkb.g119101,2023-02-27,5.0,2
2,dinesh.gupta28,2023-02-06,2.0,2
2,dineshbm.g141701,2023-02-06,4.0,2
2,dineshkumar.jnu,2023-02-20,2.0,3
2,dineshkumar.sharma49,2023-02-13,2.0,2
2,dipakkumar.sinha,2023-02-06,3.0,2
2,dipika.11862,2023-02-06,2.0,2
2,dir.mm,2023-02-27,3.0,6
2,dir.trg-nti,2023-02-27,2.0,4
2,director.sfio,2023-02-27,2.0,2
2,directorhealth-pb,2023-02-20,2.0,2
2,dirs.upw-dgt-dot,2023-02-27,3.0,2
2,divesh.kumar89,2023-02-06,2.0,2
2,dj-golaghat,2023-02-20,2.0,2
2,dk.sharma83,2023-02-06,3.0,2
2,dk.zeus167.cicef,2023-02-20,2.0,2
2,dkupadhyay.0601,2023-02-27,3.0,2
2,dm.tripathy64,2023-02-20,2.0,2
2,dmhq1.corp-wb,2023-02-27,3.0,4
2,dmilita40.rgi,2023-02-20,2.0,6
2,dpdjl.aro3,2023-02-27,3.0,3
2,dpo.dplo-wb,2023-02-27,2.0,2
2,dr.nanditamoitra,2023-02-13,2.0,2
2,dr.naveendiwan,2023-02-20,2.0,4
2,dr.sandeepchopra1983,2023-02-20,5.0,2
2,dr.sanjeev0107,2023-02-13,4.0,4
2,dr.umesh1970,2023-02-06,3.0,2
2,drbavaskar20.fci,2023-02-20,3.0,2
2,drpancham.nama,2023-02-27,3.0,3
2,drpramod.yadav,2023-02-20,2.0,7
2,drpramode.fci,2023-02-20,3.0,4
2,drsair.pb,2023-02-27,2.0,2
2,drsridhar.varma,2023-02-20,2.0,4
2,ds1.fpih-wb,2023-02-13,2.0,2
2,dsardar.rgi,2023-02-20,3.0,2
2,dsingh.1990,2023-02-27,1.0,3
2,durgalaksr.g061701,2023-02-13,2.0,2
2,durgesh.kumar09,2023-02-20,2.0,5
2,dvijaya.drdl,2023-02-20,2.0,4
2,dycom1.hmc-wb,2023-02-13,2.0,2
2,dylegalrem5-law,2023-02-06,2.0,2
2,dysecy-wbic,2023-02-20,2.0,2
2,ee.dibrugarhele-irri,2023-02-06,3.0,2
2,eishvaryesh.b,2023-02-13,3.0,2
2,eoffice.soi,2023-02-13,2.0,2
2,eoffice.soi,2023-02-20,2.0,4
2,eswarkumar.k62,2023-02-20,3.0,3
2,exho3.kmc-wb,2023-02-27,3.0,2
2,faiyaz.aazam,2023-02-27,3.0,2
2,faizanakhtar9.bsnl,2023-02-13,3.0,2
2,fakir.s50,2023-02-27,2.0,3
2,farida.begum1,2023-02-20,2.0,2
2,fin-assttjkspdc,2023-02-20,3.0,2
2,fmsraj-mp,2023-02-20,1.0,2
2,g.sainath10,2023-02-13,1.0,5
2,gairikg.wbl.ae,2023-02-27,2.0,2
2,gajendersingh.bsnl,2023-02-20,2.0,2
2,gargsk.nrly,2023-02-06,2.0,4
2,gaurav.gupta85,2023-02-27,3.0,5
2,gauravchauhan.dad,2023-02-06,3.0,2
2,gbkr.bharath,2023-02-27,2.0,2
2,geeta.78,2023-02-06,1.0,2
2,geeta142054.fci,2023-02-20,2.0,12
2,geetaamarjee.g129401,2023-02-27,2.0,2
2,ghans.nwrly,2023-02-27,2.0,1
2,ghunawat.payal,2023-02-13,2.0,4
2,gittehariram.soi,2023-02-20,2.0,2
2,gkmeena.17,2023-02-20,3.0,2
2,gkmvendhan.dgca,2023-02-20,1.0,2
2,gobinda.paul.gsi,2023-02-27,4.0,1
2,gobindaca.g119101,2023-02-27,2.0,2
2,gomez.cgst,2023-02-27,2.0,2
2,gopika70.fci,2023-02-06,3.0,2
2,gorle.sanyasirao30,2023-02-20,2.0,2
2,govind.singh.cwprs,2023-02-27,4.0,2
2,govindkumar.edu,2023-02-20,2.0,6
2,gowala.du,2023-02-20,3.0,2
2,gulam.hassan,2023-02-27,2.0,1
2,guntsruj,2023-02-27,3.0,4
2,gupta.charu,2023-02-06,2.0,4
